wiki_db,level_1,level_0,index,commitsha,damaging_hard,damaging_likelybad_max,damaging_likelybad_min,damaging_likelygood_max,damaging_likelygood_min,damaging_maybebad_max,damaging_maybebad_min,damaging_soft,damaging_softest,damaging_verylikelybad_max,damaging_verylikelybad_min,extension_status,goodfaith_bad_max,goodfaith_bad_min,goodfaith_good_max,goodfaith_good_min,goodfaith_likelybad_max,goodfaith_likelybad_min,goodfaith_likelygood_max,goodfaith_likelygood_min,goodfaith_maybebad_max,goodfaith_maybebad_min,goodfaith_verylikelybad_max,goodfaith_verylikelybad_min,rcfilters_enabled,rcfilters_watchlist_enabled,useOres,useOresUi,has_ores,rcfilters_enabled_default,extension_status_default,rcfilters_watchlist_enabled_default,commitsha_default,has_extension,has_beta_extension,has_rcfilters,has_rcfilters_watchlist,commit_dt,deploy_dt,deploy_gap
eswikibooks,2,168,18,66b719d1593e8ef54c067fa29575c9a44b4a6d72,,,,,,,,,,,,,,,,,,,1.0,maximum recall @ precision >= 0.99,,,maximum recall @ precision >= 0.9,0.0,,,True,True,True,,,,66b719d1593e8ef54c067fa29575c9a44b4a6d72,False,False,True,True,2019-08-22 16:17:17,2019-09-03 11:07:00,11 days 18:49:43.000000000
eswikiquote,0,169,24,66b719d1593e8ef54c067fa29575c9a44b4a6d72,,,,maximum recall @ precision >= 0.99,0.0,,,,,1,maximum recall @ precision >= 0.98,,,,,,,,1.0,maximum recall @ precision >= 0.98,maximum recall @ precision >= 0.15,0.0,,,,,True,True,True,,,,66b719d1593e8ef54c067fa29575c9a44b4a6d72,False,False,True,True,2019-08-22 16:17:17,2019-09-03 11:07:00,11 days 18:49:43.000000000
etwiki,0,55,53776,e943dfe7efd737c034e9efcaf14a82951a4edd44,0.34,,,,,,,0.62,0.95,1,recall_at_precision(min_precision=0.98),beta,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,False,,True,,True,False,beta,,faa77e29375289fb63e88a5aef666fb2f887c2d4,False,True,False,False,2017-05-09 06:25:31,2017-05-09 13:33:00,0 days 07:07:29.000000000
etwiki,1,100,41981,ed09270d8f160cc8b962c1cd6d8e0d675bd38f2c,,,,,,,,,,1,recall_at_precision(min_precision=0.98),,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,,,True,,True,True,,False,094740f34c467b8025e197ad894e059364fceda0,False,False,True,False,2018-03-14 10:19:58,2018-03-14 17:18:00,0 days 06:58:02.000000000
etwiki,2,142,34017,05ccaa39718125f940db8a5f9e955549dec8f61a,,,,,,,,,,1,maximum recall @ precision >= 0.98,,,,,,,,,,,,maximum recall @ precision >= 0.9,0.0,,,True,,True,False,,True,05ccaa39718125f940db8a5f9e955549dec8f61a,False,False,False,True,2018-07-17 15:19:29,2018-07-17 22:24:00,0 days 07:04:31.000000000
etwiki,3,170,30,66b719d1593e8ef54c067fa29575c9a44b4a6d72,,,,,,,,,,1,maximum recall @ precision >= 0.98,,,,,,,,,,,,maximum recall @ precision >= 0.9,0.0,,,True,True,True,,,,66b719d1593e8ef54c067fa29575c9a44b4a6d72,False,False,True,True,2019-08-22 16:17:17,2019-09-03 11:07:00,11 days 18:49:43.000000000
euwiki,0,171,5,66b719d1593e8ef54c067fa29575c9a44b4a6d72,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,True,,,,66b719d1593e8ef54c067fa29575c9a44b4a6d72,False,False,True,True,2019-08-22 16:17:17,2019-09-03 11:07:00,11 days 18:49:43.000000000
fawiki,0,45,53995,f874d5850ccd9f1ccfb2eb8fb4cf7d7c230121b9,0.07,1.0,0.941,0.495,0.0,1.0,0.33,0.37,0.9,1,0.963,,0.042,0.0,1.0,0.381,,,,,0.608,0.0,,,,,True,,True,False,beta,,faa77e29375289fb63e88a5aef666fb2f887c2d4,False,True,False,False,2017-04-27 11:37:40,2017-04-27 18:41:00,0 days 07:03:20.000000000
fawiki,1,94,45466,24ffb52154847439dd9f6657faf644a1f3477c06,,,,,,1.0,recall_at_precision(min_precision=0.15),,,1,recall_at_precision(min_precision=0.6),,,,,,recall_at_precision(min_precision=0.45),0.0,,,recall_at_precision(min_precision=0.15),0.0,recall_at_precision(min_precision=0.75),0.0,,,False,,False,True,,False,094740f34c467b8025e197ad894e059364fceda0,False,False,False,False,2017-12-11 11:22:50,2017-12-11 14:25:00,0 days 03:02:10.000000000
fawiki,2,101,41973,ed09270d8f160cc8b962c1cd6d8e0d675bd38f2c,,,,,,1.0,recall_at_precision(min_precision=0.15),,,1,recall_at_precision(min_precision=0.6),,,,,,recall_at_precision(min_precision=0.45),0.0,,,recall_at_precision(min_precision=0.15),0.0,recall_at_precision(min_precision=0.75),0.0,,,True,,True,True,,False,094740f34c467b8025e197ad894e059364fceda0,False,False,True,False,2018-03-14 10:19:58,2018-03-14 17:18:00,0 days 06:58:02.000000000
fawiki,3,143,34008,05ccaa39718125f940db8a5f9e955549dec8f61a,,,,,,1.0,maximum recall @ precision >= 0.15,,,1,maximum recall @ precision >= 0.6,,,,,,maximum recall @ precision >= 0.45,0.0,,,maximum recall @ precision >= 0.15,0.0,maximum recall @ precision >= 0.75,0.0,,,True,,True,False,,True,05ccaa39718125f940db8a5f9e955549dec8f61a,False,False,False,True,2018-07-17 15:19:29,2018-07-17 22:24:00,0 days 07:04:31.000000000
fawiki,4,172,25,66b719d1593e8ef54c067fa29575c9a44b4a6d72,,,,,,1.0,maximum recall @ precision >= 0.15,,,1,maximum recall @ precision >= 0.6,,,,,,maximum recall @ precision >= 0.45,0.0,,,maximum recall @ precision >= 0.15,0.0,maximum recall @ precision >= 0.75,0.0,,,True,True,True,,,,66b719d1593e8ef54c067fa29575c9a44b4a6d72,False,False,True,True,2019-08-22 16:17:17,2019-09-03 11:07:00,11 days 18:49:43.000000000
fiwiki,0,102,41967,ed09270d8f160cc8b962c1cd6d8e0d675bd38f2c,,,,,,,,,,,,,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,,,True,,True,True,,False,094740f34c467b8025e197ad894e059364fceda0,False,False,True,False,2018-03-14 10:19:58,2018-03-14 17:18:00,0 days 06:58:02.000000000
fiwiki,1,144,33999,05ccaa39718125f940db8a5f9e955549dec8f61a,,,,,,,,,,,,,,,,,,,,,,,maximum recall @ precision >= 0.9,0.0,,,True,,True,False,,True,05ccaa39718125f940db8a5f9e955549dec8f61a,False,False,False,True,2018-07-17 15:19:29,2018-07-17 22:24:00,0 days 07:04:31.000000000
fiwiki,2,173,1,66b719d1593e8ef54c067fa29575c9a44b4a6d72,,,,,,,,,,,,,,,,,,,,,,,maximum recall @ precision >= 0.9,0.0,,,True,True,True,,,,66b719d1593e8ef54c067fa29575c9a44b4a6d72,False,False,True,True,2019-08-22 16:17:17,2019-09-03 11:07:00,11 days 18:49:43.000000000
frwiki,0,90,46287,1b522a63a8000dba0fe59166032602e083ec5343,,,,,,,,,,1,recall_at_precision(min_precision=0.85),,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,,,False,,False,True,,False,094740f34c467b8025e197ad894e059364fceda0,False,False,False,False,2017-11-27 13:05:24,2017-11-27 19:11:00,0 days 06:05:36.000000000
frwiki,1,103,41978,ed09270d8f160cc8b962c1cd6d8e0d675bd38f2c,,,,,,,,,,1,recall_at_precision(min_precision=0.85),,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,,,True,,True,True,,False,094740f34c467b8025e197ad894e059364fceda0,False,False,True,False,2018-03-14 10:19:58,2018-03-14 17:18:00,0 days 06:58:02.000000000
frwiki,2,145,34014,05ccaa39718125f940db8a5f9e955549dec8f61a,,,,,,,,,,1,maximum recall @ precision >= 0.85,,,,,,,,,,,,maximum recall @ precision >= 0.9,0.0,,,True,,True,False,,True,05ccaa39718125f940db8a5f9e955549dec8f61a,False,False,False,True,2018-07-17 15:19:29,2018-07-17 22:24:00,0 days 07:04:31.000000000
frwiki,3,174,28,66b719d1593e8ef54c067fa29575c9a44b4a6d72,,,,,,,,,,1,maximum recall @ precision >= 0.85,,,,,,,,,,,,maximum recall @ precision >= 0.9,0.0,,,True,True,True,,,,66b719d1593e8ef54c067fa29575c9a44b4a6d72,False,False,True,True,2019-08-22 16:17:17,2019-09-03 11:07:00,11 days 18:49:43.000000000
hewiki,0,56,53775,e943dfe7efd737c034e9efcaf14a82951a4edd44,0.07,1.0,recall_at_precision(min_precision=0.45),,,,,0.5,0.94,1,recall_at_precision(min_precision=0.98),beta,,,,,recall_at_precision(min_precision=0.45),0.0,,,,,recall_at_precision(min_precision=0.99),0.0,False,,True,,True,False,beta,,faa77e29375289fb63e88a5aef666fb2f887c2d4,False,True,False,False,2017-05-09 06:25:31,2017-05-09 13:33:00,0 days 07:07:29.000000000
hewiki,1,104,41971,ed09270d8f160cc8b962c1cd6d8e0d675bd38f2c,,1.0,recall_at_precision(min_precision=0.45),,,,,,,1,recall_at_precision(min_precision=0.98),,,,,,recall_at_precision(min_precision=0.45),0.0,,,,,recall_at_precision(min_precision=0.99),0.0,,,True,,True,True,,False,094740f34c467b8025e197ad894e059364fceda0,False,False,True,False,2018-03-14 10:19:58,2018-03-14 17:18:00,0 days 06:58:02.000000000
