commitsha,damaging_hard,damaging_likelybad_max,damaging_likelybad_min,damaging_likelygood_max,damaging_likelygood_min,damaging_maybebad_max,damaging_maybebad_min,damaging_soft,damaging_softest,damaging_verylikelybad_max,damaging_verylikelybad_min,extension_status,goodfaith_bad_max,goodfaith_bad_min,goodfaith_good_max,goodfaith_good_min,goodfaith_likelybad_max,goodfaith_likelybad_min,goodfaith_likelygood_max,goodfaith_likelygood_min,goodfaith_maybebad_max,goodfaith_maybebad_min,goodfaith_verylikelybad_max,goodfaith_verylikelybad_min,rcfilters_enabled,rcfilters_watchlist_enabled,useOres,useOresUi,wiki_db,has_ores,rcfilters_enabled_default,extension_status_default,rcfilters_watchlist_enabled_default,commitsha_default,has_extension,has_beta_extension,has_rcfilters,has_rcfilters_watchlist,commit_dt,deploy_dt,deploy_gap,damaging_maybebad_min_value,goodfaith_bad_min_value,goodfaith_good_min_value,damaging_likelybad_min_value,damaging_likelygood_min_value,goodfaith_maybebad_min_value,goodfaith_likelygood_max_value,goodfaith_maybebad_max_value,goodfaith_good_max_value,goodfaith_likelybad_min_value,damaging_maybebad_max_value,goodfaith_verylikelybad_min_value,damaging_likelygood_max_value,goodfaith_likelygood_min_value,damaging_verylikelybad_max_value,damaging_likelybad_max_value,goodfaith_verylikelybad_max_value,damaging_verylikelybad_min_value,goodfaith_likelybad_max_value,goodfaith_bad_max_value
236766701c4e0bbae60e0ffd331fbff9355ae4b3,,1.0,recall_at_precision(min_precision=0.75),,,,,,,1,recall_at_precision(min_precision=0.98),,,,,,,,1.0,recall_at_precision(min_precision=0.999),,,,,,,True,,svwiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-02-26 16:42:25,2018-02-26 19:22:00,0 days 02:39:35.000000000,,,,,,,1.0,,,,,,,,1.0,1.0,,,,
9bf5037a356260c8718088a96e12271a28fe76d9,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,test2wiki,False,False,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,False,True,False,False,2017-03-21 16:09:36,2017-03-21 17:54:00,0 days 01:44:24.000000000,,,,,,,,,,,,,,,,,,,,
0cca1e8e2fa584eef73a370e822eb56024a16ed7,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,test2wiki,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,True,True,2018-07-26 03:23:33,2018-07-26 10:33:00,0 days 07:09:27.000000000,,,,,,,,,,,,,,,,,,,,
9bf5037a356260c8718088a96e12271a28fe76d9,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,testwiki,False,False,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,False,True,False,False,2017-03-21 16:09:36,2017-03-21 17:54:00,0 days 01:44:24.000000000,,,,,,,,,,,,,,,,,,,,
e9e8224ab5f4dc877c666ffc2b64e1dbec18b0b4,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,testwiki,True,False,,True,b59dc054d75966cc444880ed9e6ed797a34a46e1,False,False,True,True,2018-07-18 09:01:27,2018-07-18 11:05:00,0 days 02:03:33.000000000,,,,,,,,,,,,,,,,,,,,
7d6b0c09c03af0c47d00819057524f6573f6f7ff,0.22,,,,,,,0.49,,,,,,,,,,,,,,,,,,,True,,trwiki,True,,,,83721dc27d3ecadb550a759e9004c794ad0cb792,False,False,False,False,2016-07-13 05:14:13,2016-07-13 15:30:00,0 days 10:15:47.000000000,,,,,,,,,,,,,,,,,,,,
653ef7704f549485c006186a7f77c92a06435717,0.2,1.0,0.882,0.155,0.0,1.0,0.105,0.58,0.92,1,0.912,on,0.11900000000000001,0.0,1.0,0.809,,,,,0.86,0.0,,,True,,True,,trwiki,True,False,beta,,9bf5037a356260c8718088a96e12271a28fe76d9,True,False,True,False,2017-04-11 06:38:06,2017-04-11 11:09:00,0 days 04:30:54.000000000,0.105,0.0,0.809,0.882,0.0,0.0,,0.86,1.0,,1.0,,0.155,,1.0,1.0,,0.912,,0.11900000000000001
5dfa70bd7e90d254e7aeb41055e428ad73ea8ef5,,1.0,maximum recall @ precision >= 0.45,,,,,,,1,maximum recall @ precision >= 0.75,,,,,,maximum recall @ precision >= 0.45,0.0,,,,,maximum recall @ precision >= 0.75,0.0,,,True,,trwiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2018-03-14 16:09:06,2018-03-14 17:18:00,0 days 01:08:54.000000000,,,,0.819,,,,,,0.0,,0.0,,,1.0,1.0,0.056,0.891,0.056,
83721dc27d3ecadb550a759e9004c794ad0cb792,0.8,,,,,,,0.96,,,,,,,,,,,,,,,,,,,True,,wikidatawiki,True,,,,83721dc27d3ecadb550a759e9004c794ad0cb792,False,False,False,False,2016-06-22 08:08:26,2016-06-22 15:13:00,0 days 07:04:34.000000000,,,,,,,,,,,,,,,,,,,,
487dbe5cc51da5a1b6c9b35ab80c43d1f092ce9c,0.92,1.0,recall_at_precision(min_precision=0.75),,,,,0.97,0.99,,,,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,,,True,,wikidatawiki,True,True,on,,bfc85146c44bb7396fdda631c8eb9ea97e9691bf,True,False,True,False,2017-05-09 16:03:15,2017-05-09 23:54:00,0 days 07:50:45.000000000,,,,model info not implemented in this version of revscoring,,,,,,,,0.0,,,,1.0,model info not implemented in this version of revscoring,,,
9f442d5cff1bea7bcfa57f1e0681e479e6d88430,,1.0,recall_at_precision(min_precision=0.75),,,,,,,,,,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,,,False,,wikidatawiki,False,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,False,False,2017-10-26 12:56:43,2017-10-26 13:21:00,0 days 00:24:17.000000000,,,,,,,,,,,,0.0,,,,1.0,1.0,,,
1d6d2af399c51e82d39e40a0fbfc663b5ccdf2aa,,1.0,recall_at_precision(min_precision=0.75),,,,,,,,,,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,,,True,,wikidatawiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2017-10-30 07:03:44,2017-10-30 13:19:00,0 days 06:15:16.000000000,,,,,,,,,,,,0.0,,,,1.0,1.0,,,
1b522a63a8000dba0fe59166032602e083ec5343,,1.0,recall_at_precision(min_precision=0.08),,,,,,,recall_at_precision(min_precision=0.12),0,,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,,,False,,wikidatawiki,False,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,False,False,2017-11-27 13:05:24,2017-11-27 19:11:00,0 days 06:05:36.000000000,,,,,,,,,,,,0.0,,,,1.0,1.0,0.0,,
0af3ea9e27a31d7988f43c507c9c43e127e5b52b,,1.0,recall_at_precision(min_precision=0.08),,,,,,,recall_at_precision(min_precision=0.12),0,,,,,,,,,,,,recall_at_precision(min_precision=0.9),0.0,,,True,,wikidatawiki,True,True,,True,22f6ec8967a3b66019881f27bb37515eaae855bc,False,False,True,True,2017-11-27 13:35:54,2017-11-27 19:11:00,0 days 05:35:06.000000000,,,,,,,,,,,,0.0,,,,1.0,1.0,0.0,,
